xdiff,ydiff,sum,xpos,ypos
-0.0030518509475997192,-0.007629627368999298,0.07019257179479355,-0.0,0.0
-0.0030518509475997192,-0.007629627368999298,0.07019257179479355,-0.0,0.0
-0.0030518509475997192,-0.00793481246375927,0.06958220160527359,-0.0,0.0
-0.0030518509475997192,-0.007629627368999298,0.07080294198431349,-0.0,0.0
-0.0030518509475997192,-0.00793481246375927,0.07080294198431349,-0.0,0.0
-0.0030518509475997192,-0.00793481246375927,0.07019257179479355,-0.0,0.0
-0.0030518509475997192,-0.00793481246375927,0.06958220160527359,-0.0,0.0
-0.0030518509475997192,-0.00793481246375927,0.06958220160527359,-0.0,0.0
-0.0030518509475997192,-0.00793481246375927,0.06958220160527359,-0.0,0.0
-0.0030518509475997192,-0.007629627368999298,0.06958220160527359,-0.0,0.0
-0.0030518509475997192,-0.007629627368999298,0.07019257179479355,-0.0,0.0
-0.0027466658528397473,-0.007629627368999298,0.07141331217383343,-0.0,0.0
0.0015259254737998596,-0.006714072084719382,0.119632557145909,-0.0,0.0
-0.09063997314371167,-0.01586962492751854,0.8514664143803217,-0.0,0.0
-0.609149449140904,0.024719992675557724,3.750724814600055,-0.0,0.0
-0.5758842738120671,0.0018311105685598315,8.070314645832697,-0.0,0.0
-0.09643848994415113,-0.16449476607562488,11.793572801904356,-0.0,0.0
0.4950102237006745,-0.23255104220709863,12.516251106295968,-0.0,0.0
0.7843256935331279,0.011902218695638905,8.845484786523025,-0.0,0.0
0.16113773003326518,0.0619525742362743,3.5029145176549576,-0.0,0.0
0.008239997558519242,-0.0027466658528397473,1.3342692342905973,-0.0,0.0
-0.005493331705679495,-0.010376293221839045,0.8288827173680837,-0.0,0.0
0.03509628589739677,0.02594073305459761,1.2201300088503677,-0.0,0.0
0.05157628101443525,0.06927701651051363,1.7017120883816035,-0.0,0.0
0.023499252296517836,0.06866664632099369,1.6388439588610493,-0.0,0.0
0.0024414807580797754,0.1730399487289041,2.0093386638996553,-0.0,0.0
-0.15594958342234566,0.3619495223853267,2.9932554094058044,-0.0,0.0
-0.30396435438093206,0.39063692129276406,3.7757499923703723,-0.0,0.0
-0.3811761833552049,0.2652058473464156,3.7946714682454905,-0.0,0.0
-0.21607104709006011,0.07904293954283273,2.71736808374279,-0.0,0.0
-0.05951109347819453,-0.0024414807580797754,1.511276589251381,-0.0,0.0
-0.020142216254158147,-0.008850367748039186,1.0150456251716666,-0.0,0.0
-0.013428144169438765,-0.00946073793755913,0.8117923520615253,-0.0,0.0
-0.07812738425855281,-0.010376293221839045,1.142002624591815,-0.0,0.0
-0.43763542588579973,0.0006103701895199438,2.6447340311899166,-0.0,0.0
-0.7013153477584155,0.06317331461531418,5.467085787530137,-0.0,0.0
-0.5896176030762658,0.2218695638904996,8.321176793725394,-0.0,0.0
-0.2728354747154149,0.4693746757408368,10.10284737693411,-0.0,0.0
0.004577776421399579,0.6787316507461776,10.131534775841548,-0.0,0.0
0.26062807092501605,0.7159642323068942,8.130741294595172,-0.0,0.0
